Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS1A03G1061600,8,4,13,4,2,6,49,74,7,6,24,45
TraesCS1B03G0000100,140,39,98,12,30,54,866,2383,73,24,116,246
TraesCS1B03G0000200,14,30,22,3,42,53,1,0,4,28,10,12
TraesCS1B03G0000800,16,19,8,1,6,43,128,205,12,6,22,149
TraesCS1B03G0000900,0,0,4,1,3,0,101,216,1,3,2,132
TraesCS1B03G0001300,17,14,4,0,6,5,7,13,7,19,19,16
TraesCS1B03G0004100,0,0,0,0,0,0,4,0,0,0,0,0
TraesCS1B03G0004400,16,5,44,6,23,12,649,1193,20,29,65,362
TraesCS1B03G0004700,29,33,31,11,12,29,696,1035,17,75,30,441
TraesCS1B03G0005100,0,0,0,0,0,0,4,8,0,0,0,4
TraesCS1B03G0005600,28,34,40,19,22,100,583,1324,16,84,28,828
TraesCS1B03G0005800,421,482,973,294,375,616,84,115,503,656,893,1037
TraesCS1B03G0006100,0,0,0,0,0,0,0,0,2,0,0,0
TraesCS1B03G0006200,0,0,0,0,0,0,16,57,0,0,0,0
TraesCS1B03G0006500,477,74,514,9,390,660,828,2253,582,100,1593,1706
TraesCS1B03G0006700,1107,961,1624,255,1557,2644,803,2148,1106,665,3302,2439
TraesCS1B03G0007200,19,5,15,6,14,48,209,466,9,4,17,114
TraesCS1B03G0008000,127,202,232,57,90,243,80,165,162,297,238,462
TraesCS1B03G0009700,0,3,1,0,1,16,0,0,0,0,0,0
TraesCS1B03G0013600,0,0,0,0,0,0,2,6,0,0,0,5
TraesCS1B03G0014300,0,0,0,0,2,14,2,0,0,2,0,1
TraesCS1B03G0017900,0,0,0,0,1,5,3,0,0,0,0,3
TraesCS1B03G0018800,90,159,92,30,28,36,260,147,65,135,99,171
TraesCS1B03G0022900,5,3,8,3,2,2,27,77,4,0,12,10
TraesCS1B03G0023400,87,141,67,89,35,16,557,1210,81,203,215,837
TraesCS1B03G0023700,2,3,14,12,1,0,5,11,5,40,14,42
TraesCS1B03G0023900,4,0,1,1,0,4,19,34,0,0,2,7
TraesCS1B03G0024300,29,107,116,13,31,94,20,35,51,63,70,84
TraesCS1B03G0024400,0,0,0,0,0,0,1,4,0,0,0,0
TraesCS1B03G0024500,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1B03G0024800,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS1B03G0025000,0,0,0,0,8,0,7,0,0,0,0,0
TraesCS1B03G0025400,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS1B03G0028200,4,1,10,4,1,7,26,66,4,8,11,34
TraesCS1B03G0029300,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS1B03G0029400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G0030200,0,0,0,0,0,0,3,1,0,0,0,0
TraesCS1B03G0030900,0,0,0,0,0,0,0,1,0,0,0,0
