Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS2A03G0019000,0,0,0,0,0,0,2,8,0,0,1,9
TraesCS2A03G0019100,24,20,115,8,1,33,1,9,109,6,113,27
TraesCS2A03G0034800,31,89,259,7,21,142,0,0,69,16,101,18
TraesCS2A03G0035200,0,0,0,0,0,2,0,2,0,0,0,0
TraesCS2A03G0037900,0,0,0,0,0,0,0,0,1,0,0,4
TraesCS2A03G0038100,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2A03G0038200,0,0,0,0,0,0,0,1,0,0,1,0
TraesCS2A03G0038400,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2A03G0039800,3,3,1,0,0,19,1,1,4,5,5,3
TraesCS2A03G0041200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A03G0041300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A03G0041800,14,2,49,0,0,14,4,0,59,24,30,10
TraesCS2A03G0043600,5,1,31,3,0,0,0,1,38,0,66,12
TraesCS2A03G0044400,0,3,4,0,2,24,0,1,1,3,4,2
TraesCS2A03G0048000,189,332,259,134,209,296,245,307,193,390,250,391
TraesCS2A03G0048100,168,168,184,46,23,106,122,131,139,203,198,195
TraesCS2A03G0053000,0,0,1,0,1,7,200,440,0,0,6,96
TraesCS2A03G0053100,4,25,13,10,8,1,13,21,10,76,15,59
TraesCS2A03G0053200,0,0,3,0,1,2,5,3,1,1,5,3
TraesCS2A03G0053400,0,0,0,0,0,0,0,3,0,0,0,0
TraesCS2A03G0057900,69,98,41,40,70,88,198,283,25,65,62,263
TraesCS2A03G0058100,6,38,50,22,10,38,5,11,13,59,23,94
TraesCS2A03G0058600,296,599,1038,164,138,436,326,454,526,500,922,647
TraesCS2A03G0058700,61,262,372,77,9,72,96,86,179,246,289,610
TraesCS2A03G0059300,66,172,263,208,36,83,187,300,82,220,240,399
TraesCS2A03G0059900,206,323,641,157,113,173,348,455,340,242,555,530
TraesCS2A03G0061300,364,426,847,173,125,122,217,257,550,417,696,664
TraesCS2A03G0062000,33,7,202,19,2,21,19,7,384,22,207,73
TraesCS2A03G0062300,10,36,15,12,0,0,3,5,2,1,8,21
TraesCS2A03G0076700,124,108,281,106,95,144,295,537,149,158,235,379
TraesCS2A03G0080500,182,276,284,186,232,501,334,618,164,244,378,549
TraesCS2A03G0080600,190,325,398,206,386,558,4,1,180,453,246,417
TraesCS2A03G0080700,2,39,5,8,8,39,165,196,3,7,3,120
TraesCS2A03G0081100,8,39,27,16,5,0,13,32,8,39,14,118
TraesCS2A03G0081500,1,4,1,0,4,0,2,0,1,0,0,5
TraesCS2A03G0088400,112,234,106,196,246,221,3,2,73,236,89,411
TraesCS2A03G0088700,0,0,0,0,0,0,3,0,0,0,0,6
TraesCS2A03G0092300,0,0,0,0,0,0,0,2,0,0,1,0
TraesCS2A03G0112400,2,0,1,1,0,0,2,2,1,0,2,15
TraesCS2A03G0116800,5,8,8,8,3,5,14,18,12,1,10,60
TraesCS2A03G0117900,0,0,1,0,1,0,3,5,0,1,1,2
TraesCS2A03G0137200,12,8,24,12,55,47,484,844,18,19,56,129
TraesCS2A03G0137400,224,291,194,161,149,164,879,1814,201,419,275,731
TraesCS2A03G0171600,47,44,117,49,58,106,174,240,52,115,92,140
TraesCS2A03G0181400,0,0,0,0,0,0,3,2,0,0,0,0
TraesCS2A03G0189800,1,0,1,0,0,0,3,0,3,0,0,1
TraesCS2A03G0229000,692,629,1113,128,151,201,16,10,741,509,1054,397
TraesCS2A03G0229200,12,17,139,7,3,11,12,11,61,6,85,28
TraesCS2A03G0255000,5,3,4,2,5,20,17,26,0,10,4,13
TraesCS2A03G0265200,39,56,57,9,14,43,16,22,40,56,40,49
TraesCS2A03G0373600,288,503,555,181,198,158,17,24,354,465,549,889
TraesCS2A03G0383100,76,81,200,38,28,87,209,398,104,61,127,103
TraesCS2A03G0410100,19,27,22,8,10,44,19,71,13,19,21,32
TraesCS2A03G0411000,134,177,275,106,76,133,107,113,172,165,234,279
TraesCS2A03G0637200,5,5,8,5,1,10,11,36,4,1,11,17
TraesCS2A03G0881100,0,0,1,0,0,0,3,0,0,0,0,1
TraesCS2A03G0881200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A03G0881300,173,267,232,38,99,143,408,577,184,191,253,302
TraesCS2A03G0881400,167,383,167,30,75,191,246,417,125,272,255,415
TraesCS2A03G0882800,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS2A03G0882900,0,0,0,0,0,0,1,1,0,0,1,0
TraesCS2A03G0885700,74,60,93,29,19,24,24,62,48,37,91,55
TraesCS2A03G0929500,2,0,32,1,0,0,4,3,23,3,24,4
TraesCS2A03G0930000,47,210,632,218,4,32,14,15,890,96,381,767
TraesCS2A03G0997200,33,53,152,47,16,72,40,116,92,64,144,84
TraesCS2A03G1006500,1,0,1,1,0,0,3,3,5,0,1,0
TraesCS2A03G1083800,0,0,0,0,0,0,18,50,0,1,1,2
TraesCS2A03G1093100,343,589,874,286,630,1127,34,76,419,533,712,882
TraesCS2A03G1093800,108,87,144,45,78,132,155,240,77,128,127,171
TraesCS2A03G1094300,362,561,1100,376,349,712,27,27,494,765,759,829
TraesCS2A03G1094700,7,4,9,0,4,3,1,2,6,10,7,13
TraesCS2A03G1094900,32,15,20,6,13,10,2,7,26,21,44,103
TraesCS2A03G1095600,23,23,33,9,24,47,117,241,26,39,30,76
TraesCS2A03G1097000,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS2A03G1112800,0,4,6,9,3,25,58,42,2,19,4,197
TraesCS2A03G1117700,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2A03G1124600,11,38,29,3,0,10,2,0,12,14,18,12
TraesCS2A03G1124900,1,0,2,0,1,0,7,18,1,3,2,18
TraesCS2A03G1156600,17,43,9,34,22,54,15,22,8,69,21,45
TraesCS2A03G1172300,34,33,95,8,5,68,35,67,48,15,65,53
TraesCS2A03G1191700,0,0,0,0,0,0,4,12,0,0,0,1
TraesCS2A03G1222600,0,13,4,5,4,7,18,17,6,1,0,32
TraesCS2A03G1254200,2,0,7,1,0,0,69,168,4,0,8,7
TraesCS2A03G1255700,0,0,2,0,2,0,3,0,0,0,1,0
TraesCS2A03G1317000,184,195,314,64,89,203,148,280,178,148,260,292
TraesCS2A03G1317900,8,3,7,8,2,4,1,1,16,3,6,39
TraesCS2A03G1318100,20,27,39,18,8,3,10,10,30,10,43,73
TraesCS2A03G1330800,0,0,4,5,14,99,0,0,2,8,0,4
TraesCS2A03G1331600,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2A03G1335000,1,0,1,0,0,0,4,5,0,0,2,4
TraesCS2A03G1335300,0,0,0,1,0,0,3,2,0,0,0,1
TraesCS2A03G1342600,3,5,2,1,3,3,9,18,1,5,3,2
TraesCS2A03G1343000,0,0,3,0,0,8,8,10,0,2,4,3
TraesCS2A03G1350300,67,84,154,124,68,115,35,43,98,143,122,314
TraesCS2A03G1352300,0,0,0,0,0,0,1,2,0,5,0,10
TraesCS2A03G1352400,13,51,15,16,7,64,2,1,9,29,18,22
TraesCS2A03G1352700,2,20,30,4,5,13,0,0,13,25,5,22
TraesCS2A03G1352800,1,19,17,9,6,12,1,0,5,57,3,17
TraesCS2A03G1353200,914,1198,1767,363,483,925,6,13,1097,1355,1758,1206
TraesCS2A03G1353300,4212,5395,6369,569,1410,3046,4,17,4696,7333,7477,2632
TraesCS2A03G1367900,0,0,1,0,0,0,2,5,0,0,2,26
TraesCS2A03G1368200,0,0,0,0,0,0,43,60,0,0,2,6
TraesCS2A03G1368400,31,61,106,20,9,83,17,27,89,65,117,66
TraesCS2A03G1369000,15,32,30,21,28,91,150,249,16,50,12,154
TraesCS2B03G0003600,0,0,0,0,0,0,5,1,0,0,0,0
TraesCS2B03G0005000,194,48,275,47,28,86,8,7,145,218,262,239
TraesCS2B03G0007900,0,0,0,0,0,0,10,6,1,0,0,6
TraesCS2B03G0010000,1,0,1,0,0,0,2,2,1,0,0,0
TraesCS2B03G0011900,14,8,28,1,13,15,17,25,12,12,26,1
TraesCS2B03G0012800,29,20,77,8,18,16,68,70,39,37,66,69
TraesCS2B03G0013900,75,79,108,31,52,173,543,935,48,91,98,335
TraesCS2B03G0014300,539,693,2029,1178,1428,930,30,30,879,1033,1994,4330
TraesCS2B03G0014500,157,26,84,8,59,44,1110,2145,38,32,216,722
TraesCS2B03G0015000,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2B03G0015400,0,0,1,1,0,0,8,0,0,0,0,0
TraesCS2B03G0028300,0,0,0,0,1,0,5,2,0,1,1,7
TraesCS2B03G0047800,77,69,170,7,10,28,3,0,119,157,110,104
TraesCS2B03G0050400,13,8,49,14,5,26,57,116,24,23,27,51
TraesCS2B03G0051100,94,134,329,53,84,160,1,0,148,138,245,149
TraesCS2B03G0051300,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2B03G0051800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2B03G0052500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0055700,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS2B03G0056800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0058100,0,2,0,0,0,0,1,0,1,2,1,1
TraesCS2B03G0061300,0,0,3,1,0,0,0,3,5,0,11,3
TraesCS2B03G0061600,0,0,0,0,0,0,1,0,0,0,0,1
TraesCS2B03G0061900,152,171,264,67,138,292,21,7,117,180,211,255
TraesCS2B03G0062000,463,1169,657,364,534,1783,9,17,245,1358,450,1156
TraesCS2B03G0070100,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS2B03G0070200,0,0,0,0,0,0,3,1,0,0,0,1
TraesCS2B03G0070600,0,3,1,6,242,303,729,1032,1,1,0,39
TraesCS2B03G0072700,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2B03G0079200,5,2,3,2,2,3,2,2,4,7,6,11
TraesCS2B03G0080700,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2B03G0080800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2B03G0081300,0,0,0,0,0,0,6,1,0,0,0,0
TraesCS2B03G0081500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0081600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0081900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0082000,0,0,0,0,0,0,1,0,0,1,0,0
TraesCS2B03G0087100,139,127,75,64,46,58,394,574,57,98,112,267
TraesCS2B03G0087200,12,23,64,19,31,35,11,20,15,46,26,146
TraesCS2B03G0087300,467,786,1247,303,494,818,886,1067,658,454,1149,1228
TraesCS2B03G0087500,0,3,3,1,1,0,32,76,4,1,5,23
TraesCS2B03G0088700,1,4,46,5,0,0,0,0,24,2,35,5
TraesCS2B03G0089100,23,80,233,98,20,32,9,25,209,37,200,352
TraesCS2B03G0089700,17,11,69,4,1,8,4,8,102,9,61,34
TraesCS2B03G0091700,290,541,1023,306,138,369,376,466,501,468,966,856
TraesCS2B03G0091900,91,215,447,244,77,115,456,779,179,254,324,611
TraesCS2B03G0092100,31,56,74,31,12,51,25,24,35,94,63,53
TraesCS2B03G0092300,124,334,520,146,80,190,19,15,287,139,353,564
TraesCS2B03G0092400,234,284,844,118,159,317,287,446,441,254,764,471
TraesCS2B03G0093900,65,148,146,49,20,64,1,6,65,142,104,251
TraesCS2B03G0094000,565,1110,1647,605,385,654,575,489,910,965,1457,1929
TraesCS2B03G0095200,2,146,23,156,449,660,0,0,1,310,1,240
TraesCS2B03G0111900,0,0,0,2,0,0,1,0,0,1,0,0
TraesCS2B03G0117200,214,293,363,140,177,267,320,600,181,205,318,654
TraesCS2B03G0117600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0117800,0,1,0,0,0,0,0,3,0,1,0,1
TraesCS2B03G0123600,10,320,39,96,1075,1342,1,0,9,127,8,240
TraesCS2B03G0128700,7,12,23,3,14,2,7,14,10,7,16,11
TraesCS2B03G0129600,12,8,22,4,14,18,47,61,15,3,17,26
TraesCS2B03G0140600,1,1,1,0,0,0,8,1,0,5,3,4
TraesCS2B03G0152700,0,0,0,0,0,0,5,6,0,0,0,16
TraesCS2B03G0156400,0,0,2,0,1,0,2,1,12,0,1,1
TraesCS2B03G0157100,3,2,22,0,0,3,0,0,63,0,11,0
TraesCS2B03G0175700,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2B03G0190700,4,10,8,13,5,16,417,747,4,6,13,154
TraesCS2B03G0192300,263,423,256,120,264,245,315,423,126,473,282,451
TraesCS2B03G0192900,0,0,0,0,0,0,475,908,3,1,3,148
TraesCS2B03G0231700,41,142,82,82,103,101,1,0,30,165,44,172
TraesCS2B03G0235900,5,7,42,5,0,3,6,9,22,11,34,24
TraesCS2B03G0266900,9,5,0,0,0,0,16,16,2,1,3,10
TraesCS2B03G0317200,156,250,157,20,18,15,1,0,67,71,89,33
TraesCS2B03G0367200,14,17,45,5,1,0,2,1,40,155,11,24
TraesCS2B03G0405500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G0438100,34,12,83,10,0,0,3,6,26,21,72,26
TraesCS2B03G0442800,878,1264,2124,513,260,878,7,6,967,965,1489,1037
TraesCS2B03G0498100,100,81,275,64,34,38,7,8,153,65,227,226
TraesCS2B03G0537300,206,165,340,50,79,235,396,615,265,193,343,308
TraesCS2B03G0541300,159,206,563,112,108,194,152,241,256,236,407,360
TraesCS2B03G0737100,0,0,0,0,0,0,48,102,1,0,2,145
TraesCS2B03G0858500,50,43,64,8,23,21,294,522,44,18,53,114
TraesCS2B03G0858600,83,111,180,80,121,195,126,324,69,180,123,213
TraesCS2B03G0975200,122,59,215,39,60,203,44,105,120,62,210,108
TraesCS2B03G1021500,41,165,1042,204,3,13,12,4,1046,107,522,689
TraesCS2B03G1108000,71,151,316,92,61,96,69,91,151,177,271,188
TraesCS2B03G1225900,393,787,747,213,396,504,38,32,476,610,531,532
TraesCS2B03G1226000,8,7,15,1,12,46,29,67,15,10,21,38
TraesCS2B03G1226200,34,33,51,17,41,41,46,72,24,43,30,55
TraesCS2B03G1226500,11,18,12,2,6,33,5,2,15,35,29,150
TraesCS2B03G1226900,5,6,14,0,1,5,17,24,6,11,6,1
TraesCS2B03G1229600,13,22,34,9,13,30,74,138,28,37,32,44
TraesCS2B03G1230600,97,70,313,47,53,138,171,392,131,102,278,294
TraesCS2B03G1231200,167,227,495,90,94,216,384,633,249,227,407,408
TraesCS2B03G1233200,2,0,10,0,0,0,9,14,1,1,3,4
TraesCS2B03G1250500,8,0,4,2,3,9,69,121,1,35,1,88
TraesCS2B03G1251400,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS2B03G1251900,17,5,22,1,16,7,4,11,3,13,10,23
TraesCS2B03G1266900,138,96,198,40,33,155,107,211,115,109,192,246
TraesCS2B03G1269100,792,1281,772,212,341,614,218,349,586,999,885,1302
TraesCS2B03G1276100,51,76,149,48,20,53,53,91,59,90,87,135
TraesCS2B03G1276200,92,100,172,36,48,94,80,136,93,89,158,176
TraesCS2B03G1313600,176,203,284,81,123,244,72,166,173,223,254,354
TraesCS2B03G1332200,9,5,14,1,4,0,19,42,10,5,7,20
TraesCS2B03G1345100,4,6,4,1,0,3,4,0,2,0,2,13
TraesCS2B03G1399400,12,33,16,12,16,28,93,182,7,35,24,61
TraesCS2B03G1399900,6,39,30,16,11,60,58,83,23,34,36,93
TraesCS2B03G1409000,44,48,202,28,54,81,208,399,91,98,135,186
TraesCS2B03G1436600,70,40,55,26,24,27,206,407,44,74,83,129
TraesCS2B03G1439300,90,55,312,100,45,70,2,1,297,142,269,215
TraesCS2B03G1446500,0,6,0,0,0,0,2,1,1,0,0,0
TraesCS2B03G1451800,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2B03G1472300,0,0,0,0,0,0,3,2,1,0,2,0
TraesCS2B03G1474600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G1486000,0,0,0,0,0,0,2,0,0,0,0,1
TraesCS2B03G1486400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B03G1486500,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2B03G1486800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2B03G1487100,0,0,0,0,0,0,4,1,0,0,0,0
TraesCS2B03G1495300,82,11,188,23,27,35,60,100,47,143,435,1082
TraesCS2B03G1499700,0,7,0,3,11,21,1,0,0,0,0,5
TraesCS2B03G1506200,0,0,1,0,0,0,3,6,0,2,0,1
TraesCS2B03G1506300,2,0,2,1,0,0,10,22,0,1,0,2
TraesCS2B03G1519900,1,1,2,7,0,0,3,3,4,6,4,51
TraesCS2B03G1520000,6,2,18,9,12,15,16,21,9,3,21,56
TraesCS2B03G1520300,0,0,0,0,0,0,7,0,0,0,0,0
TraesCS2B03G1523100,20,93,74,92,109,222,388,825,20,200,76,625
TraesCS2B03G1524200,543,770,392,239,206,293,58,141,265,686,500,1432
TraesCS2B03G1546600,0,0,0,0,0,0,2,3,0,0,0,0
TraesCS2B03G1546700,0,0,0,0,0,4,4,0,0,0,0,0
TraesCS2B03G1548000,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2B03G1551300,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS2B03G1552900,0,0,0,0,1,0,119,82,0,0,0,0
TraesCS2B03G1553000,13,1,50,2,36,80,840,673,15,12,70,40
TraesCS2B03G1554200,0,0,5,5,0,0,1,1,14,47,13,7
TraesCS2B03G1554500,3,22,79,45,40,90,0,4,17,80,16,103
TraesCS2B03G1571100,117,199,219,47,38,147,75,99,116,130,157,296
TraesCS2B03G1571200,21,25,68,11,0,35,30,17,37,18,87,85
TraesCS2B03G1571300,26,34,48,8,13,19,28,29,30,18,48,40
TraesCS2B03G1571800,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2B03G1572100,35,22,52,19,19,98,187,342,32,37,36,211
TraesCS2B03G1572800,111,99,168,45,79,144,232,414,109,112,157,235
TraesCS2D03G0002700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G0004400,29,15,71,6,18,46,76,87,38,30,29,18
TraesCS2D03G0006300,100,110,525,239,5,56,1203,1527,246,255,439,1933
TraesCS2D03G0007000,6,15,17,2,4,9,6,16,6,1,11,18
TraesCS2D03G0008100,4,3,3,0,0,6,2,5,2,2,4,8
TraesCS2D03G0008200,0,0,0,0,1,0,7,9,0,0,3,0
TraesCS2D03G0008800,0,0,0,0,0,0,2,0,3,0,8,0
TraesCS2D03G0018200,5,5,12,1,4,7,23,24,7,9,8,9
TraesCS2D03G0018400,1,0,12,4,0,19,1,1,19,1,14,1
TraesCS2D03G0030700,185,193,422,27,107,278,6,6,265,258,348,393
TraesCS2D03G0033600,40,29,196,11,2,28,9,33,151,14,140,43
TraesCS2D03G0034400,8,4,5,3,8,6,7,20,2,6,7,13
TraesCS2D03G0034800,15,21,48,12,18,36,16,28,63,19,33,30
TraesCS2D03G0038300,3,0,1,0,1,0,0,0,6,11,1,1
TraesCS2D03G0038400,0,0,0,0,0,0,2,0,0,0,1,0
TraesCS2D03G0039200,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2D03G0039300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G0039700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G0040300,0,0,2,0,0,0,1,0,6,5,0,1
TraesCS2D03G0043400,4,6,102,1,0,5,0,0,59,0,57,7
TraesCS2D03G0044200,10,6,69,1,1,8,10,5,62,1,48,9
TraesCS2D03G0047700,124,245,161,56,155,178,223,455,124,216,168,332
TraesCS2D03G0047800,313,413,366,216,249,336,203,355,229,612,328,619
TraesCS2D03G0049500,104,58,180,24,78,57,272,509,71,66,97,277
TraesCS2D03G0050300,1,1,6,0,2,4,3,2,3,3,7,7
TraesCS2D03G0054100,103,70,242,85,44,19,931,1624,67,339,393,2034
TraesCS2D03G0054400,0,0,0,0,0,0,5,11,0,5,4,73
TraesCS2D03G0054700,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2D03G0075200,81,127,170,57,81,171,118,204,105,107,171,291
TraesCS2D03G0075300,34,49,118,49,61,127,69,119,44,57,82,115
TraesCS2D03G0075400,737,581,1847,608,724,1028,214,115,1091,760,1893,1357
TraesCS2D03G0075700,0,0,0,0,0,0,1,1,0,0,0,0
TraesCS2D03G0076300,34,15,49,20,15,33,262,355,44,21,70,89
TraesCS2D03G0076400,22,26,34,20,27,61,286,437,19,29,21,134
TraesCS2D03G0082100,0,0,0,0,0,0,0,0,0,0,0,3
TraesCS2D03G0082600,0,0,0,0,4,0,1,3,0,0,0,0
TraesCS2D03G0083200,2,2,0,0,0,0,27,70,1,0,1,4
TraesCS2D03G0088700,4,0,10,1,8,14,40,48,3,5,4,16
TraesCS2D03G0098000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G0111300,0,0,1,0,0,0,0,1,5,0,1,0
TraesCS2D03G0126900,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS2D03G0136400,9,4,33,4,3,8,458,914,9,5,16,157
TraesCS2D03G0137000,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS2D03G0168500,81,115,152,71,76,195,51,97,62,177,162,198
TraesCS2D03G0168800,56,67,104,21,24,94,71,136,70,34,109,67
TraesCS2D03G0197600,11,7,19,22,6,3,18,52,7,7,14,104
TraesCS2D03G0235300,203,177,904,71,53,353,278,540,487,200,707,401
TraesCS2D03G0303800,0,0,0,0,0,0,0,0,0,0,0,2
TraesCS2D03G0393000,193,217,664,90,44,49,27,33,310,180,451,352
TraesCS2D03G0425600,111,143,207,44,38,110,452,633,179,133,199,301
TraesCS2D03G0429300,152,242,501,130,88,215,170,216,290,201,385,319
TraesCS2D03G0610800,2,4,9,2,1,5,18,40,3,0,9,107
TraesCS2D03G0716100,15,22,18,8,24,63,408,717,19,12,22,183
TraesCS2D03G0716200,160,153,290,171,182,349,162,398,112,324,214,459
TraesCS2D03G0824400,71,90,120,32,59,125,55,97,51,77,84,120
TraesCS2D03G0868400,0,0,18,3,0,4,3,6,8,3,11,2
TraesCS2D03G0868500,51,168,744,165,10,44,3,5,760,41,357,474
TraesCS2D03G0868600,52,83,216,80,70,154,50,117,172,151,221,208
TraesCS2D03G0868900,46,109,138,77,59,112,22,50,121,99,119,174
TraesCS2D03G0933100,33,63,159,63,54,76,74,123,52,100,97,182
TraesCS2D03G0933600,6,23,5,18,8,12,14,16,3,30,3,41
TraesCS2D03G0942200,3,1,9,0,0,0,4,9,3,1,13,10
TraesCS2D03G1039000,864,1094,1214,538,738,972,23,35,467,885,1034,1130
TraesCS2D03G1039100,40,21,60,11,36,56,60,168,33,52,50,61
TraesCS2D03G1039400,15,4,24,1,10,14,23,26,12,3,16,15
TraesCS2D03G1039600,2,0,3,0,2,4,29,37,2,3,4,3
TraesCS2D03G1040400,15,15,60,10,10,38,80,85,27,28,41,44
TraesCS2D03G1041200,64,64,154,49,58,113,218,373,71,90,149,216
TraesCS2D03G1041600,14,33,38,13,14,53,123,182,19,59,22,75
TraesCS2D03G1049700,0,4,1,3,1,0,10,12,1,1,10,35
TraesCS2D03G1059100,167,467,37,33,25,55,5498,8229,89,172,72,1115
TraesCS2D03G1070500,696,1010,631,78,134,686,24,48,476,541,654,740
TraesCS2D03G1070800,0,6,0,0,2,20,6,6,0,2,1,20
TraesCS2D03G1075900,41,37,164,23,14,37,144,191,109,43,126,86
TraesCS2D03G1090300,0,0,0,0,0,0,0,0,0,5,0,0
TraesCS2D03G1107200,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2D03G1121600,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G1124100,51,30,232,3,13,10,5,7,179,60,147,43
TraesCS2D03G1137300,0,0,0,0,0,0,2,2,0,0,1,0
TraesCS2D03G1140000,54,106,129,52,110,230,103,248,77,103,180,235
TraesCS2D03G1140300,74,52,162,15,140,467,289,444,107,53,331,162
TraesCS2D03G1181200,3,57,14,13,10,6,24,32,6,13,7,42
TraesCS2D03G1201300,94,140,183,51,86,126,242,474,64,86,119,313
TraesCS2D03G1209300,200,60,69,72,74,41,651,1374,100,89,155,486
TraesCS2D03G1219800,0,0,0,0,0,3,1,0,0,0,0,0
TraesCS2D03G1250400,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS2D03G1271400,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2D03G1281200,35,11,59,45,9,15,7,21,47,17,67,98
TraesCS2D03G1285300,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2D03G1285500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G1286100,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G1286300,0,0,2,0,0,0,2,4,0,1,0,6
TraesCS2D03G1286400,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS2D03G1287200,147,504,208,64,21,74,0,7,99,184,149,312
TraesCS2D03G1287300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G1287400,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D03G1299100,0,0,0,0,0,0,0,1,0,6,0,0
TraesCS2D03G1320100,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2D03G1320200,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS2D03G1323600,0,0,2,0,0,0,2,2,0,0,0,3
TraesCS2D03G1324900,0,1,0,0,0,0,5,0,0,0,0,0
TraesCS2D03G1325200,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2D03G1325300,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS2D03G1325600,0,0,0,0,0,0,0,1,0,2,0,0
TraesCS2D03G1325900,0,1,0,0,0,0,5,1,0,0,0,0
TraesCS2D03G1326000,67,54,148,49,69,40,0,6,50,66,130,114
TraesCS2D03G1326300,2,0,1,0,2,4,295,396,2,2,0,219
TraesCS2D03G1326600,0,0,0,0,0,0,5,2,0,0,0,0
TraesCS2D03G1327800,1,4,7,3,0,7,1,0,8,5,6,28
TraesCS2D03G1335100,0,0,1,0,0,0,2,0,0,0,0,0
TraesCS2D03G1338000,0,0,2,0,0,0,21,20,0,1,1,2
TraesCS2D03G1340300,5,2,10,12,4,0,8,5,5,15,19,47
TraesCS2D03G1341400,716,846,2345,400,561,871,24,28,1403,1230,1747,1133
TraesCS2D03G1341700,1,0,72,22,54,13,0,0,36,51,16,31
TraesCS2D03G1341900,8,4,13,1,9,0,119,202,7,7,15,60
TraesCS3A03G0017000,0,0,0,0,2,0,102,266,0,0,0,37
TraesCS3A03G0018000,53,151,120,24,36,71,23,29,40,145,75,168
TraesCS3A03G0018100,42,114,57,15,35,32,14,21,32,110,50,81
TraesCS3A03G0019900,130,272,177,190,142,442,8,5,64,327,96,231
TraesCS3A03G0020000,221,367,412,228,325,438,33,41,197,451,387,477
TraesCS3A03G0021400,9,5,13,2,9,8,19,29,3,10,13,27
TraesCS3A03G0027800,0,0,0,0,0,0,2,0,1,0,0,0
TraesCS3A03G0028100,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3A03G0028800,1,0,0,0,1,4,35,110,0,0,0,11
TraesCS3A03G0029000,63,141,85,43,59,123,348,683,51,95,102,387
